gnd_id,german_name,related_subjects
4003694-7,Ausbreitung,
4032393-6,Koordination,
4038971-6,Methode,Methodologie
4043744-9,Ordnung,Unordnung | Ordnen
4048300-9,Rahmen,
4052056-0,Schaltung,
4054790-5,Sicherheit,
4056693-6,Stabilität,Instabilität
4062163-7,Ursache,
4064937-4,Wechselwirkung,Wirkung | Interdependenz
4068129-4,Zurechnung,
4072712-9,Identifikation,
4114001-1,Inanspruchnahme,Nichtinanspruchnahme
4120509-1,Internationaler Vergleich,Vergleich
4121131-5,Deutung,"Amplifikation,Psychologie"
4122795-5,Analyse,
4123150-8,Erhöhung,
4123437-6,Intensivierung,
4124584-2,Ausscheiden,
4125246-9,Stilllegung,Abschaltung
4125447-8,Indirekter Bereich,Organisatorischer Teilbereich
4125506-9,Rückkehr,
4125517-3,Harmonisierung,
4125969-5,Austritt,
4126617-1,Sanierung,
4126901-9,Auswertung,
4127680-2,Ausgliederung,
4128256-5,Änderung,
4128337-5,Kontroverse,
4128495-1,Inkompatibilität,
4129043-4,Ende,Schluss | Beendigung
4130238-2,Beendigung,Ende
4131967-9,Kategorie,
4132231-9,Verbund,
4132420-1,Schluss,Ende
4132608-8,Leistung,
4132717-2,Zusatz,
4132803-6,Erfassung,
4133232-5,Störung,
4134175-2,Überwachung,Kontrolle
4134209-4,Randbemerkung,
4135103-4,Anforderung,
4135121-6,Umstellung,
4135600-7,Untergang,Kulturverfall
4135755-3,Aufhebung,
4136102-7,Rekonstruktion,
4137867-2,Detail,
4138740-5,Ersatz,
4138905-0,Alternative,
4138921-9,Vorgeschichte,
4139161-5,Spezifikation,
4139195-0,Instabilität,Stabilität
4139465-3,Indikator,Kennzahl
4139489-6,Übertragung,
4140240-6,Nähe,
4142352-5,Analytische Methode,Analyse | Synthetische Methode
4143508-4,Auseinandersetzung,
4143598-9,Auslöser,
4144322-6,Behandlung,
4144483-8,Benutzung,Nutzung | Besuch
4144942-3,Bestenliste,
4158388-7,Grundlage,
4161483-5,Index,
4161887-7,Instruktion,
4165775-5,Kritiker,Kritikerin
4177306-8,Reduktion,Kürzung | Gegenmaßnahme
4181170-7,Sicherung,
4185917-0,Transparenz,
4187586-2,Verbreitung,
4187639-8,Veredelung,
4187879-6,Verlust,Gewinn | Abhandenkommen
4188028-6,Verspätung,
4188747-5,Vorwurf,
4190021-2,Wirkung,
4191050-3,Zubehör,
4191103-9,Zugang,
4191205-6,Zweckmäßigkeit,
4192157-4,Zusammenkunft,
4192420-4,Zuordnung,
4193448-9,Unfehlbarkeit,
4193468-4,Auflösung,Zusammenbruch
4193781-8,Zentrum,
4194103-2,Vorspiel,
4194652-2,Sonderausführung,
4194908-0,Rest,Resteverwertung
4195351-4,Lokalisation,
4196864-5,Anwendung,
4196978-9,Ausgleich,
4197595-9,Periode,
4197629-0,Interferenz,
4200339-8,Strukturierung,
4200579-6,Ausschluss,
4200586-3,Abschaffung,
4201989-8,Vereinigung,
4202748-2,Überquerung,Überschreitung
4205291-9,Anfrage,
4205832-6,Verkürzung,Reduktion
4206458-2,Pauschalierung,
4208479-9,Zwischenlösung,
4208661-9,Ausbeute,
4211127-4,Umkreis,
4214540-5,Auswahl,Entscheidung | Auslese
4217877-0,Überleitung,
4221436-1,Suche,Recherche
4224599-0,Obsoleszenz,Produktpolitik
4224604-0,Aktualisierung,
